,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-02-23 17:10:54,#ก็จะดื้อ,May_Munk,♥2PM ♥NICHKHUN ♥TAECYEON [TaecKhun] #เมนพี่คุณ No matter what happen. i will stay be side you always my 2pm.  [2PM only] #Hottest,278,ทำไมจอมันเบลอๆ อ่ะ #ก็จะดื้อ https://t.co/DvjshikZHj, /ก็จะดื้อ,106,182,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
1,45,2021-02-23 03:42:32,#ก็จะดื้อ,BBHWORLD,ฉันไม่ได้ชอบไอดอลทั้งเกาหลีฉันชอบexo วงเดียว,64,เอาละปานินได้น้องแฝดแน่!! #ก็จะดื้อ, /ก็จะดื้อ,0,0,BBHWORLD,ฉันไม่ได้ชอบไอดอลทั้งเกาหลีฉันชอบexo วงเดียว
2,75,2021-02-23 01:22:07,#ก็จะดื้อ,blendxxx285,ฉันผู้ชื่นชอบในความอิสระ จินตนาการ เสียงดนตรี อนิเมะ และภาพยนต์,157,"เนื่องในโอกาสวันวาเลนไทน์ มีผู้ใหญ่ใจดี(นามสมมติ ภ.) มาแจกตุ๊กตาฉลาม 
กติกา
บอกรัก บอกสิ่งที่ประทับใจเกี่ยวกับนิยายเรื่องก็จะดื้อใต้ทวิตนี้พร้อมติดแทค #ก็จะดื้อ   ทวิตไหนเรารู้สึกทับใจมากที่สุดรับไปเลยหนึ่งตัว 
หมดเขต : วันศุกร์ที่ 19 ก.พ https://t.co/Ndfd9JfAjS", ,188,117,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
3,93,2021-02-22 23:34:17,#ก็จะดื้อ,thn13114,#eruri,3,"ซ้ายเอเนอจี้ลวีน #หย่านะคุณพราน
ขวาเอเนอร์จี้ตะนิด #ก็จะดื้อ

ฮ้อย น่าดั๊ก https://t.co/u8tsrpkTpq", /หย่านะคุณพราน/ก็จะดื้อ,88,102,mmcmarchmarcia,ᴍᴀʀᴄʜ ᴍᴀʀᴄɪᴀ ፧ คน (หัด) เขียนนิยาย | Treat the people u love like u wanna be loved | luv me luv my kwainoi @jaijaiikwaiinoi
4,96,2021-02-22 22:57:06,#ก็จะดื้อ,LynlyDesu,ทีมโพหน้างานค่ะ ลูกเราชิปได้ทุกเรือ แต่แฟนลูกจะต้องมีแค่ลูกเรา,62,"#ก็จะดื้อ                                                 #ก็จะดุ

พี่ภาสตะนิด                                              พี่ชายคณิต https://t.co/9Q03HRucko", /ก็จะดื้อ/ก็จะดุ,229,93,y1997_____,"🆕️: Re. -🌈 🏳️‍🌈🍑
Yaoi boyslove K-POP and porn nsfw only🔞 Hot🔥🍭"
5,98,2021-02-22 12:58:20,#ก็จะดื้อ,JUWKlw1GJEd8JMU,สวยและรวยมาก555,0,"เธรดรวมอภิมหามหึมาผัวทิพย์คัดมาแบบว่า ตัวบอสทั้งนั้น

#เมกาโลมา ผัวทุกสถาบัน
#คุณติอร่อยที่สุด ผัวแห่งชาติ
#พี่นาวาต้องฟังผม ผัวเด็ก
#พี่หินคนห่าม ผัวนักดนตรี
#นับเก้ารัก ผัวบราค่อน
#หวนกลิ่นรัก ผัวไมโครเวฟ
#สามหกสิบแปด ผัวหรือพ่อ
#ก็จะดื้อ ผัวสปอยเก่ง
#กี่หมื่นฟ้า ผัวอบอุ่น", /เมกาโลมา/คุณติอร่อยที่สุด/พี่นาวาต้องฟังผม,7556,7445,99Benyapa,เธอยังคงงดงาม ฉันยังคงรักเธอ 🥀
6,99,2021-02-22 07:55:23,#ก็จะดื้อ,bodinebeerii,,17,🧸 #ก็จะดื้อ [omegaverse] ตะนิดนายเอกโพน้องงุ้งงิ้งดื้อสุดๆดื้อจนอ่านแล้วไม่คิดว่าจะมีใครดื้อได้ขนาดนี้5555 ส่วนพี่ภาสพระเอกหน้าดุเหมียนหมาแต่ใจดีกับน้องสุด ฟีลกู๊ด+คอมเมดี้ ตลกแบบขำจนตกเตียง อ่านแล้วใจฟูมากก(ยังไม่จบแต่ใกล้จะจบแล้ว) [🔥🔥🔥🔥🔥] #แนะนํานิยายวาย #รีวิวนิยายวาย https://t.co/KIa3QLjJtv, /ก็จะดื้อ,8,18,anpannanapan,𝘣𝘢𝘣𝘪𝘥𝘪𝘣𝘢𝘣𝘪𝘥𝘪𝘣𝘰𝘰 /✿🌷✨ * ꒱ | 𝘳𝘦𝘢𝘥𝘦𝘳🧸 | แนะนำนิยายวายที่อ่านแล้วชอบ🤍คะแนนตามความชอบแต่รับรองสนุกทุกเรื่อง! #แนะนำนิยายวาย #รีวิวนิยายวาย
7,100,2021-02-22 03:50:06,#ก็จะดื้อ,mademyj,ผมอยากมี ฟารหริร | 绿植🌱,49,"@ershibamarch บอยเลิฟ
#ระวังโจรปลื้ม
#พระอาทิตย์ของไท่
#นาทีที่ข้ามฟ้า
พี่ฟากชอบเธอมู่
#อย่ากลับพร้อมเธียร
#ก็จะดื้อ
เราไม่ใช่ชื่อตัวหอม
#คุณติอร่อยที่สุด
#สามหกสิบแปด", /ระวังโจรปลื้ม/พระอาทิตย์ของไท่/นาทีที่ข้ามฟ้า/อย่ากลับพร้อมเธียร/ก็จะดื้อ/คุณติอร่อยที่สุด/สามหกสิบแปด,0,1,ershibamarch,If you need me I will still be one last good man in your heart. | 绿植 。
8,102,2021-02-21 15:30:38,#ก็จะดื้อ,SJismypassion,PassionคือSJ มีSJเป็นหัวหน้าครอบครัว มีลูกๆเป็นน้องดรีม อินจุนเป็นลูกรัก 💙💚 .|||. เกลียดสลิ่ม อย่ามายุ่งกะบ้านกู!!,51,คิดถึงตะนิด #ก็จะดื้อ https://t.co/Tl3SF8JpHu, /ก็จะดื้อ,0,1,SJismypassion,PassionคือSJ มีSJเป็นหัวหน้าครอบครัว มีลูกๆเป็นน้องดรีม อินจุนเป็นลูกรัก 💙💚 .|||. เกลียดสลิ่ม อย่ามายุ่งกะบ้านกู!!
9,103,2021-02-21 13:35:33,#ก็จะดื้อ,OOZEROO1,ᓰᗱᓍᘉ -18y. ﹆ ˚ 🖖🏻◞˚ₓ 🧶 ⁕˚ #ดูไอศูรย์ | แอคดูดวง @ZEROTOOM |||,645,"ปานิน : ยุงเต้อปานินรักยุงเต้อฮะ ยุงเต้อจะแมรี่กับปานินดีๆมั้ยฮะ
ยุงเต้อ : ภานินครับลุงยังอยากมีชีวิตอยู่นะครับ

#ก็จะดื้อ  https://t.co/9o46zbviLt", /ก็จะดื้อ,0,0,OOZEROO1,ᓰᗱᓍᘉ -18y. ﹆ ˚ 🖖🏻◞˚ₓ 🧶 ⁕˚ #ดูไอศูรย์ | แอคดูดวง @ZEROTOOM |||
10,106,2021-02-21 05:01:17,#ก็จะดื้อ,Saturn_SrK,💚⚡⭐👶🌞💙...ตะไมต้องว่าติ่งติ่งผิดอะไร😳ซื้อหนังสือมากองๆหาเวลาอ่านยังไม่มีชอบเตฮิโซกะกอร์นคิรัวiuGOT7หวังเจียเอ๋อหวังอี้ป๋อTENไฮคิวเส็ตโชมารูอื่นๆ,193,"รีรันอีกรอบ
อิพิคนนั้น วอแวคณิต มีตะนิดนั่งมอง
😘            😑         😧
#ก็จะดื้อ #ก็จะดุ https://t.co/uEBYOJ9pi4", /ก็จะดื้อ/ก็จะดุ,0,2,Saturn_SrK,💚⚡⭐👶🌞💙...ตะไมต้องว่าติ่งติ่งผิดอะไร😳ซื้อหนังสือมากองๆหาเวลาอ่านยังไม่มีชอบเตฮิโซกะกอร์นคิรัวiuGOT7หวังเจียเอ๋อหวังอี้ป๋อTENไฮคิวเส็ตโชมารูอื่นๆ
11,107,2021-02-20 21:34:00,#ก็จะดื้อ,BSuksroi,2001/12/05,17,โอ้ยสมกับการนอนตี3เพื่อ รออ่าน #ก็จะดื้อ โดนคุมโอ้ยเซอร์ไพรส์โดยการเปิดเรื่อง #ก็จะดุ ดีจัยยยยยยย รอดูปกรูป #ชายคณิต น้าาาาาาา https://t.co/j6XC1PnZXl, /ก็จะดื้อ/ก็จะดุ/ชายคณิต,30,49,shujin94,"26y. Thai 100% 📙 Knows • THAI , 中文 , ENG 💄Makeup ✈️ Travel 🌈Colorful ⛅️ SUPPORT • Lisa (BLACKPINK) & Xiaozhan肖战"
12,108,2021-02-20 21:32:32,#ก็จะดื้อ,BSuksroi,2001/12/05,17,"#ก็จะดื้อ

ตอนที่ 9: ชอบพีช

เด็กดี : https://t.co/z6VsYSFe6M

RAW : https://t.co/oiiKZvVG1b

TBL : https://t.co/BQm2UiioJJ

และ และ และ นี่คือเจ้าแฝดนั่นเองค่ะ อวดลูกชายและอวดคู่ #คณิตโอ๊ย ค่ะ https://t.co/jXhJXOeI9Z", /ก็จะดื้อ,546,406,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
13,110,2021-02-20 16:05:06,#ก็จะดื้อ,mylapiss,น้องพีพีแอนด์น้องแบ้ก ·͜·♡,103,#ก็จะดื้อ พระนายเป็นคู่แห่งโชคชะตากันแม่นายเอกเลยให้ไปอยู่กับพระเอกซะเลย นายเอกแสนดื้อพระเอกหน้าดุแต่ใจดีแนวฟีลกู๊ดคอมเมดี้ ตอนขำก็ขำสุดตอนเขินก็ยิ้มจนปวดแก้มอะแม่🤣 https://t.co/LDaRn6a4oz, /ก็จะดื้อ,0,0,mylapiss,น้องพีพีแอนด์น้องแบ้ก ·͜·♡
14,116,2021-02-20 02:32:13,#ก็จะดื้อ,littlewoopy,˚ ༘♡ 𝐄𝐗𝐎 ⌜ ❁´ 찬 𖥦 백 `❁ ⌟ ♡̶ @weareoneEXO ✧˖°,510,"#ก็จะดื้อ 🖐🏻✨ ( ยังไม่จบ ) 
น่ารักมาก น่ารักแบบสุดหัวใจ ตะนิดเป็นโอเมก้า มีฝาแฝดเป็นอัลฟ่าชื่อคณิต ตะนิดกับภาสเป็นคู่โชคชะตากัน ตอนเจอกันครั้งแรกตลกมาก handsome tanid กับ sia lok jit น่ารักมากๆๆๆ น่ารักที่สุดเลย พี่ภาสคลั่งน้องมาก ชอบจับถูๆ 🥺 ตอนนี้มีเบบี๋แน้ว สนุกมากคับ https://t.co/wNOeryghgJ", /ก็จะดื้อ,0,0,littlewoopy,˚ ༘♡ 𝐄𝐗𝐎 ⌜ ❁´ 찬 𖥦 백 `❁ ⌟ ♡̶ @weareoneEXO ✧˖°
15,117,2021-02-19 20:31:51,#ก็จะดื้อ,thereall_S,"ㄴㅇㅅㅌ❤ABNEW OT5🦦WIN:D🍃DANITY🦖WELO🐱MAY🐰WANNABLE🌸JOYFUL💕คูมแม่น้อนแดฮวี ฮยอนบิน แมวน้อนแพ หมาน้อนแตน📍มินฮยอนวันคี่📍ดงโฮวันคู่
《Review #กดกับแตงโม 》",650,@oiimaps เพิ่งเห็นว่าลืมติดแท้ก มันทันม้ายยยยยยย #ก็จะดื้อ, /ก็จะดื้อ,0,0,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
16,119,2021-02-19 13:58:07,#ก็จะดื้อ,Khram_Y,hєч ! เปิดไว้รีวิวนิยายวาย กับไว้บ่นปัญหาชีวิตฮะꔣ₊˚✦˚ ༘ 𖧧 ˒˒ครามไม่รู้ ครามง่วง!ꔛ﹆,60,@oiimaps ประทับใจชื่อตะนีมากค่ะ รวมทั้งตะกร้อ ตะกร้า ตะโก้ ตะล่ะแล่ก แต๊กตึงๆๆ ด้วยค่ะชอบมาก #ก็จะดื้อ https://t.co/LkD2kDHKKa, /ก็จะดื้อ,0,1,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
17,120,2021-02-19 13:56:08,#ก็จะดื้อ,neptune236,ขอโทษที่สวนโพกับคนทั้งทล.แต่กูไม่ผิด!,136,@oiimaps อุนยายรักตะนีนะคะ♡ #ก็จะดื้อ, /ก็จะดื้อ,0,2,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
18,121,2021-02-19 13:54:34,#ก็จะดื้อ,neptune236,ขอโทษที่สวนโพกับคนทั้งทล.แต่กูไม่ผิด!,136,@oiimaps ประทับใจทุกอย่างในเรื่องนี้เลย เราตามเรื่องนี้มานานมากตั้งแต่แรกๆเลย รู้สึกผูกพันกับตัวละครมากๆ ทุกอย่างในเรื่องคือความสุขของเราที่ได้อ่าน ประทับใจไรท์มากๆที่สร้างพวกเค้าขึ้นมา ขอบคุณที่สร้างความสุขให้นะคับ🥺 #ก็จะดื้อ https://t.co/mtDD8GH4mm, /ก็จะดื้อ,0,2,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
19,125,2021-02-19 04:22:25,#ก็จะดื้อ,GgiftKJmay,"ᴘᴀʀᴋ ᴊɪʜᴏᴏɴ ♡ ʟᴀɪ ᴋᴜᴀɴʟɪɴ ♡ ʟɪɴʜᴏᴏɴ​ 
รีวิวของแจก👉🏻 #KJmaygiveaway รีวิวนิยาย👉🏻#จีจีรีวิวนิยาย👉🏻 #กจรรีวิวเล่มฟิค DM ถามเรื่องลดนน.ได้ตลอดนะคะ #จีจีจะผอม",815,"เมื่อตะนิดถามปานินว่าแพนเค้กที่ทำหายไปไหน
ปานินตอบ:
#ก็จะดื้อ https://t.co/4vWyrNO7OT", /ก็จะดื้อ,0,0,GgiftKJmay,"ᴘᴀʀᴋ ᴊɪʜᴏᴏɴ ♡ ʟᴀɪ ᴋᴜᴀɴʟɪɴ ♡ ʟɪɴʜᴏᴏɴ​ 
รีวิวของแจก👉🏻 #KJmaygiveaway รีวิวนิยาย👉🏻#จีจีรีวิวนิยาย👉🏻 #กจรรีวิวเล่มฟิค DM ถามเรื่องลดนน.ได้ตลอดนะคะ #จีจีจะผอม"
20,127,2021-02-19 02:53:29,#ก็จะดื้อ,slxxpp,,2,"168 The Eyxion #ดอลซ (chanbaek)
169 #ฉลามสิ้นลาย
170 #ก็จะดื้อ 
171 #มหาลัยครึ่งมนุษย์ 
172 Villains Brother #น้องของตัวร้าย 
173 #ฤาฤทธิ์คล้องนาคา 
174 #โปรดคลั่งรักอย่างมีสติ
175 #นับหนึ่งถึงเสาร์
176 #อยู่ๆผมก็กลายเป็นโอเมก้า
177 #ขวัญใจชบ #ขวัญใจ 
178 #เล่ห์รักร้าย #ลรรชบ", /ดอลซ/ฉลามสิ้นลาย/ก็จะดื้อ/มหาลัยครึ่งมนุษย์,9,16,__nook__00,"2000 #harukyu 
@treasuremembers
 รีวิว #RV_nook00"
21,129,2021-02-18 22:41:07,#ก็จะดื้อ,nongpedjudjid,แอ๋ว วีอาวัน,280,#ก็จะดื้อ ต้าวปานินนน https://t.co/8T99BEeNLu, /ก็จะดื้อ,0,0,nongpedjudjid,แอ๋ว วีอาวัน
22,130,2021-02-18 16:52:52,#ก็จะดื้อ,alittlecatincup,For ตามหา-ซื้อขายนิยายวายคับบ ʕ•ᴥ•ʔ ดูรีวิวการขายได้ที่ #littlecat_ybooks #ชั้นหนังสือของตะหนู #โบ๊ะบ๊ะแฟมมิลี่ เมนพี่เอก ปะเต้ พี่เจมส์คับ,0,@oiimaps อีกนิด เรื่องนี้มาในช่วงที่เราอ่อนไหวมากๆ ตอนนั้นเหมือนเป็นสิ่งเดียวที่ฮีลใจเรา รอเวลาไรท์มาอัพนิยายทุกวัน เวลาอ่านแล้วใจโคตรฟูอะ มันไม่ใช่แค่นิยายตลกแต่มันสอดแทรกเรื่องการเลี้ยงดูในครอบครัวอะ ชอบความสัมพันธ์ของแฝดมากๆ ตะนิดมีอะไรเรียกคณิตไว้ก่อนเดี๋ยวจะดีเอง 5555 (3) #ก็จะดื้อ, /ก็จะดื้อ,0,2,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
23,131,2021-02-18 16:46:30,#ก็จะดื้อ,alittlecatincup,For ตามหา-ซื้อขายนิยายวายคับบ ʕ•ᴥ•ʔ ดูรีวิวการขายได้ที่ #littlecat_ybooks #ชั้นหนังสือของตะหนู #โบ๊ะบ๊ะแฟมมิลี่ เมนพี่เอก ปะเต้ พี่เจมส์คับ,0,@oiimaps ชอบความรู้สึกที่ต่างคนต่างค่อยๆหลงใหลในกันและกัน จากตอนแรกอยู่ด้วยเพราะความจำเป็น จนสุดท้ายก็ขาดกันไม่ได้ ไหนจะมีก้อนดื้อเพิ่มมาอีก1ตัว นี่ชอบชื่อภาณินมาก มันเป็นชื่อที่เหมือนมีละอองฟุ้งๆในใจ เป็นส่วนผสมของพี่ภาสและตะนิดที่ลงตัวสุดๆ เห้อ ไม่มีตรงไหนที่ไม่ทับใจเลยงะ ;-; #ก็จะดื้อ, /ก็จะดื้อ,0,2,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
24,132,2021-02-18 16:32:58,#ก็จะดื้อ,alittlecatincup,For ตามหา-ซื้อขายนิยายวายคับบ ʕ•ᴥ•ʔ ดูรีวิวการขายได้ที่ #littlecat_ybooks #ชั้นหนังสือของตะหนู #โบ๊ะบ๊ะแฟมมิลี่ เมนพี่เอก ปะเต้ พี่เจมส์คับ,0,@oiimaps จริงๆชอบทั้งหมดของเรื่องเลยนะ ไม่ว่าจะบทพูด บรรยาย การเลือกใช้คำ เป็นนิยายที่สามารถดึงเราเข้าไปในโลกของเขาได้แบบ100%เลย ไหนจะบรรดาพวกพี่ๆผีอีก ตลกมาก แต่ถ้าชอบที่สุดคงเป็นความคลั่งรักของกันและกันใครว่าพี่ภาสคลั่งรักตะนิดคนเดียว ตะนิดนี่ก็คลั่งรักพี่ภาสเหมือนกันเถอะ (1) #ก็จะดื้อ, /ก็จะดื้อ,0,2,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
25,133,2021-02-18 14:25:37,#ก็จะดื้อ,Pattawee_C,"Kuroko Tetsuya🏀💕
Hinata Shoyo🏐💕
Levi Ackerman🔥✨
Makoto Tajibana🏊‍♂️✨
Gon X Killua X Hisoka 🤭💕
Kambe Daisuke😎👑
วิศวกรรมประสาทแดกจริงๆครับ",51,#ก็จะดื้อ โอ๊ย สงสารพี่ภาส555555555 มีลูกทั้งทีอะ แรกๆชื่อตะนี หลังๆยัยแมวดื้อจะให้ชื่อตะกวดแล้ว โว้ย ตะนิดลูก555555555 https://t.co/gYWT0jOPgO, /ก็จะดื้อ,0,0,Pattawee_C,"Kuroko Tetsuya🏀💕
Hinata Shoyo🏐💕
Levi Ackerman🔥✨
Makoto Tajibana🏊‍♂️✨
Gon X Killua X Hisoka 🤭💕
Kambe Daisuke😎👑
วิศวกรรมประสาทแดกจริงๆครับ"
26,137,2021-02-18 03:55:59,#ก็จะดื้อ,fanfic__,"📣แชร์นิยายวาย ฟิค หนัง การ์ตูน เรื่องวายๆค่า
⚠️ชื่นชอบแนว mpreg , น่ารักๆ ,ฝดใฝๆ,ม่าเบาๆ
⚠️เป็นติ่งค่ะ  

🤟 ไปอ่านแล้วเม้นต์ให้กำลังใจคุณคนเขียนด้วยนะคะ 🤟",14,ทำไมน้องปานินถึงชอบลุงเต่อขนาดนั้นนะ 😂 #ก็จะดื้อ, /ก็จะดื้อ,0,0,fanfic__,"📣แชร์นิยายวาย ฟิค หนัง การ์ตูน เรื่องวายๆค่า
⚠️ชื่นชอบแนว mpreg , น่ารักๆ ,ฝดใฝๆ,ม่าเบาๆ
⚠️เป็นติ่งค่ะ  

🤟 ไปอ่านแล้วเม้นต์ให้กำลังใจคุณคนเขียนด้วยนะคะ 🤟"
27,141,2021-02-17 16:59:07,#ก็จะดื้อ,pr_3001,,23,"คณิตตะนิด

#ก็จะดื้อ https://t.co/oll8FjJ3Cd", /ก็จะดื้อ,30,69,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
28,143,2021-02-17 16:11:43,#ก็จะดื้อ,SVbulletz,นัก(หัด)เขียนนิยาย โปรดเอ็นดูเราและลูกๆของเราด้วยนะคะ 🥰💞 #โซนเปอร์,26,@oiimaps ชอบความไอ้ต้าวก้อนดื้อ ไอ้ต้าวก้อนนุ่มนิ่ม แงงง มันใจฟูอะแหละเนาะ อ่านนิยายของคูมโอ๊ยก็คือฮาทุกตอนอะ อารมณ์เหมือนพี่ภาสกำลังทำซึ้งอยู่ดีๆตะนิดก็ตัดบทเข้าสู่คอมเมดี้เฉยเลย5555 เปงงง หนูลูก หนูขายขำใช่มั้ยคะ ไม่ได้ขายความโรแมนติก 😂 #ก็จะดื้อ, /ก็จะดื้อ,0,4,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
29,145,2021-02-17 16:07:23,#ก็จะดื้อ,tinglskz,"Everyone is moon, and has a dark side which he never shows to anybody. 🌚",115,@oiimaps ชอบความแฝดของเรื่องนี้มากกก โบ๊ะบ๊ะไม่หยุด ขำทุกครั้งที่พวกเขาคุยกันเลย คนพี่ก็รักก็หวงคนน้องแหละ แต่เวลาพูดคุยกันแต่ละครั้งก็คือแบบ นว้องงง หยุดก่อนนน จะโบ๊ะบ๊ะไปไหนนน นี่อ่านนิยายวายสายคอมเมดี้อยู่ใช่มั้ยถัมจี๊งงง555555 #ก็จะดื้อ, /ก็จะดื้อ,0,3,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
30,146,2021-02-17 14:30:37,#ก็จะดื้อ,516_326,full of dreams and love,39,#ก็จะดื้อ แม่งเอ้ยยขำมากเหมือนไส้มากองรวมกัน ขำทุกตอน ขำบับ แงงง ตะนิดดื้อจริง พี่ภาสก็แสนดีมากกกกก https://t.co/ZGfKzruXgM, /ก็จะดื้อ,0,0,516_326,full of dreams and love
31,148,2021-02-17 10:40:20,#ก็จะดื้อ,Areeya02440889,HI x,1,"หนูไม่ได้จื้อตะนี!!!!!!

#ก็จะดื้อ https://t.co/wQbgkpKOG0", /ก็จะดื้อ,96,100,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
32,149,2021-02-17 09:25:50,#ก็จะดื้อ,ThisIsM72723,เป็นทาสแมว เซฟโซนเป็นแมว ชอบสีน้ำตาลกับสีน้ำเงิน,0,"เห็นแล้วนึกถึงตะนิดเมื่อก่อนเลือกคุณนุ่มแต่ตอนนี้เลือกคุณ""ภิซซ่า"" #ก็จะดื้อ https://t.co/4ztjbSR2Kv", /ก็จะดื้อ,0,0,ThisIsM72723,เป็นทาสแมว เซฟโซนเป็นแมว ชอบสีน้ำตาลกับสีน้ำเงิน
33,156,2021-02-16 19:38:09,#ก็จะดื้อ,MPrasartsansouy,"ปล่อยหนังสือบางครั้งตามโอกาส
#รับหิ้วหนังสือ​
          เช็คเครดิตได้ใน #รีวิวให้มิรา
ชิปเปอร์​ #ป๋อจ้าน",28,"@__MYYG__ @jaylerqz #กี่หมื่นฟ้า แนะนำมากๆฟีดกู้ดสุดๆ
#เจตนามาร์แน่
#ด้วงกับเธอ
#ก็จะดื้อ น่ารักมากเลยไอ่ลูกแงว
#เสือทาสแมว นี่ก้ลูกแงวจริงๆเลย
#อย่าบอกป๊านะม๊า
#ใครกินวอดก้า
#หวนกลิ่นรัก
#วิศวกรรณโยธา
#คุณติอร่อยที่สุด
#คุณที่ทำให้รัก
#14วันพักร้อน ท่องเที่ยวผ่อนคลายๆ 
#เมกาโลมา
#นมตราหมีดีที่สุด", /กี่หมื่นฟ้า/เจตนามาร์แน่/ด้วงกับเธอ/ก็จะดื้อ,9,12,SoftCookies98 __MYYG__ jaylerqz,เธอยังคงงดงาม ฉันยังคงรักเธอ 🥀
34,157,2021-02-16 13:25:35,#ก็จะดื้อ,Olimlim1,,4,@oiimaps (2) #ก็จะดื้อ https://t.co/8aIrJGZUXQ, /ก็จะดื้อ,0,1,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
35,158,2021-02-16 13:23:49,#ก็จะดื้อ,Olimlim1,,4,"@oiimaps (1)เคยมีใครสักคนบอกไว้
ถ้าวันไหนรู้สึกเหนื่อยท้อ หมดเรี่ยวแรง
ให้หาอาหารร้อนๆทานให้ท้องอุ่น
เราอยากบอกใครคนนั้นเหลือเกินค่ะ
ว่าการอ่านนิยายที่อบอุ่น ก็ช่วยให้หัวใจฟู และอบอุ่นได้เช่นกันค่ะ #ก็จะดื้อ", /ก็จะดื้อ,0,1,oiimaps,| โอ๊ยแมปส์✿ | SHINeeWorld| haikyuu l #เด็กหอหมออู้ #น้องหญิงของพี่ #คุณปลัดคิ้วท์บอย #สามหกสิบแปด #ระวังโจรปลื้ม #ก็จะดื้อ | *ฉากคัทในเล้าเป็ด/readawrite
