,Unnamed: 0,create_at,item_serach,user_account,user_description,User_follower,text,hashtag,retweet_count,favourite_count,at_tweet,user_descriptions_owner
0,0,2021-03-08 01:41:15,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,อีกกี่วันจะถึงวันพุธหรอคะ 🥺 นุอยากอ่านต่อ #ดวงใจของโรม, /ดวงใจของโรม,1,0,fonfons17,• • • ขี้เกียจเกิร์ล • • นน.เท่ากับหมู • • alwaysแดก • • • ทุกคนมีความประสาทแดก ชั้นก็เหมือนกัน
1,2,2021-03-07 05:04:01,#ดวงใจของโรม,fonfons17,• • • ขี้เกียจเกิร์ล • • นน.เท่ากับหมู • • alwaysแดก • • • ทุกคนมีความประสาทแดก ชั้นก็เหมือนกัน,202,"UPDATE

Something Old #ดวงใจของโรม

บทที่ 10 (2)

FTL:https://t.co/Bs4Yw3vUeB
RAW:https://t.co/u3F79WK23U
DD:https://t.co/BrQJnkB6pN

#omegaverse", /ดวงใจของโรม,3,1,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม
2,5,2021-03-07 03:17:31,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"พี่ทิวของเรายังคงความดี้ด้าผ่านตัวอัศเจรีย์ได้ชัดเจนเหมือนเดิม 🤣

#ดวงใจของโรม", /ดวงใจของโรม,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
3,6,2021-03-07 03:17:28,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"เย้ๆๆๆ อย่างน้อยๆ น้องก็ได้เปิดใจที่จะเรียนรู้กันเนอะะะะ ~

#ดวงใจของโรม", /ดวงใจของโรม,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
4,7,2021-03-07 03:17:22,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"ครอบครัวพี่ทิวววอบอุ่นที่ 1 เลยยยย ~

#ดวงใจของโรม", /ดวงใจของโรม,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
5,11,2021-03-05 03:44:42,#ดวงใจของโรม,Bim161,,9,"เซต To Have and To Hold 
- something old #ดวงใจของโรม 
-something new #น้ำตาของกรีน
-something borrowed #อ้อมกอดของเพิร์ธ
-somwthing blue #รอยยิ้มของน่าน

ปี 2021 นี้ ฝากสี่พี่น้องเอาไว้ในอ้อมใจแม่ๆด้วยนะคะ https://t.co/0ArZXQnuN5", /ดวงใจของโรม/น้ำตาของกรีน,23,30,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม
6,12,2021-03-05 03:44:19,#ดวงใจของโรม,Bim161,,9,"ขอเสียงแม่น้องกรีนหน่อยเร้วววว 
#น้ำตาของกรีน
 #ดวงใจของโรม
#omegaverse https://t.co/AYe9hId1sj", /น้ำตาของกรีน/ดวงใจของโรม/omegaverse,6,8,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม
7,13,2021-03-05 02:02:31,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"พี่ทิว คนดีที่ 1 เลยยยย 

— ตอนนี้นองเปราะบางมากจริงๆ 😭😭😭

#ดวงใจของโรม", /ดวงใจของโรม,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
8,14,2021-03-05 02:02:26,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"แง้ คุณภูตะวันของนุวววววววว คุณรตีเกินไปจริงๆ ไม่คิดเลยว่าภูจะต้องเจออะไรบ้าง จนพูดคำว่าเลิกคบออกมา แง้ ร้องไห้ 😭

#ดวงใจของโรม", /ดวงใจของโรม,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
9,17,2021-03-03 09:13:45,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"แต่เอาาาาาาจริงงงงงง พี่ทิววววคิดได้ไง 

จู๋จี๋ = นั่งสมาธิ 

โอ้ยยยย ยอมมมมม 5555

#ดวงใจของโรม", /ดวงใจของโรม,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
10,18,2021-03-03 09:13:38,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"พี่ทิวคะ เขินเป็นเอ็นดูจังเลยค่ะ พ่อนักพรตตะบะแก่กล้าของนุ ~

— แค่น้องบอกว่า นึกว่าจะได้นอนห้องเดียวกัน 

พี่ก็ม้วนต้วนหน้าแดงแล้วววว

#ดวงใจของโรม", ,1,2,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
11,19,2021-03-03 09:13:28,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"ฮืออออ เอ็นดูเด็กน้อยนัมเบอร์โฟร์ สุดท้องจังงงงงงง ความใสซื่อของนุน้านนนนน ถูกพ่อนักพรตหน้าตาย ทำให้เชื่อได้เลยทีเดียววว

#ดวงใจของโรม", ,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
12,20,2021-03-03 09:13:14,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"ดื้อไม่มีใครเกินเลยยยยยย ตาเพิร์ธๆ เจ้าดวงอาทิตย์ของเจ่เจ้ ~

#ดวงใจของโรม", /ดวงใจของโรม,1,1,pnxmd,ดำรงชีวิตด้วยนิยายที่เค้าไม่อ่านกัน และโกโก้มิ้นต์ JH : Jaunty Heart for Choi Junhong WS : Waft Spell for Jung Wooseok SH : See High for Yoon Sanha
13,25,2021-03-03 07:19:55,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1050,"UPDATE!

Something Old #ดวงใจของโรม

บทที่ 9 (2)

FTL:https://t.co/aysFVdqOp4
DD:https://t.co/BrQJnkB6pN
RAW:https://t.co/AAZaPVh0Uf
#omegaverse", /ดวงใจของโรม/omegaverse,3,1,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม
14,0,2021-01-31 09:42:18,#ดวงใจของโรม,Littlepig_write,2021 Novels: #ด้วยรักจากนรก #ความลับของเซจ #ดวงใจของโรม,1031,"มาสมัครเป็นแฟนคลับพี่ทิวค่า ตามอ่านจนถึงตอนล่าสุดแล้ว จะอยู่เป็นกำลังใจให้จนจบเรื่องนะค๊า
#ดวงใจของโรม", /ดวงใจของโรม,1,1,babiesmay,
